NomeIntesta;idEEFattura;dtIniz;annoComp;meseComp;tipoSpesa;prezzoUnit;quantita;importo
"alessandro";1713;"2019-07-01";2019;"2019-07";"E1";0,09;27,00;2,42
"alessandro";1713;"2019-07-01";2019;"2019-07";"P";0,90;4,50;4,04
"alessandro";1713;"2019-07-01";2019;"2019-07";"R";0,06;27,00;1,60
"alessandro";1713;"2019-08-01";2019;"2019-08";"E1";0,09;10,00;0,89
"alessandro";1713;"2019-08-01";2019;"2019-08";"P";0,90;4,50;4,04
"alessandro";1713;"2019-08-01";2019;"2019-08";"R";0,06;10,00;0,59
"alessandro";1714;"2020-09-01";2020;"2020-09";"E1";0,09;116,00;10,38
"alessandro";1715;"2019-09-01";2019;"2019-09";"E1";0,09;39,00;3,49
"alessandro";1715;"2019-09-01";2019;"2019-09";"P";0,87;4,50;3,91
"alessandro";1714;"2020-09-01";2020;"2020-09";"P";0,87;4,50;3,90
"alessandro";1716;"2020-07-01";2020;"2020-07";"E1";0,09;162,00;14,49
"alessandro";1716;"2020-07-01";2020;"2020-07";"P";0,89;4,50;4,03
"alessandro";1714;"2020-09-01";2020;"2020-09";"R";0,06;116,00;6,86
"alessandro";1715;"2019-09-01";2019;"2019-09";"R";0,06;39,00;2,31
"alessandro";1715;"2019-10-01";2019;"2019-10";"E1";0,09;103,00;9,21
"alessandro";1716;"2020-07-01";2020;"2020-07";"R";0,06;162,00;9,58
"alessandro";1714;"2020-10-01";2020;"2020-10";"E1";0,09;146,00;13,06
"alessandro";1714;"2020-10-01";2020;"2020-10";"P";0,89;4,50;4,03
"alessandro";1716;"2020-08-01";2020;"2020-08";"E1";0,09;116,00;10,38
"alessandro";1715;"2019-10-01";2019;"2019-10";"P";0,90;4,50;4,04
"alessandro";1715;"2019-10-01";2019;"2019-10";"R";0,06;103,00;6,09
"alessandro";1716;"2020-08-01";2020;"2020-08";"P";0,89;4,50;4,03
"alessandro";1714;"2020-10-01";2020;"2020-10";"R";0,06;146,00;8,63
"alessandro";1716;"2020-08-01";2020;"2020-08";"R";0,06;116,00;6,86
"alessandro";1717;"2020-03-01";2020;"2020-03";"E1";0,09;163,00;14,58
"alessandro";1717;"2020-03-01";2020;"2020-03";"E2";0,19;345,00;65,38
"alessandro";1717;"2020-03-01";2020;"2020-03";"P";0,89;4,50;4,03
"alessandro";1717;"2020-03-01";2020;"2020-03";"R";0,06;494,00;29,21
"alessandro";1717;"2020-04-01";2020;"2020-04";"E1";0,09;157,00;14,04
"alessandro";1717;"2020-04-01";2020;"2020-04";"E2";0,19;126,00;23,88
"alessandro";1717;"2020-04-01";2020;"2020-04";"P";0,87;4,50;3,90
"alessandro";1718;"2020-05-01";2020;"2020-05";"E1";0,09;163,00;14,58
"alessandro";1718;"2020-05-01";2020;"2020-05";"E2";0,19;117,00;22,17
"alessandro";1718;"2020-05-01";2020;"2020-05";"P";0,89;4,50;4,03
